policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_12/instance_12.lp,41,220,2.68,0.0,optimal,0,0,2.7983420798555017,2.827388686000063
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_13/instance_13.lp,257,685,8.54,0.0,optimal,253,0,9.344691683538258,9.350679002999982
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_13/instance_13.lp,201,602,7.78,0.0,optimal,221,0,8.521200050599873,8.526679706999971
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_13/instance_13.lp,231,668,7.71,0.0,optimal,216,0,8.54187753982842,8.546806880000076
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_13/instance_13.lp,301,722,8.42,0.0,optimal,234,0,9.222204115241766,9.227279728999974
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_13/instance_13.lp,205,615,8.19,0.0,optimal,221,0,9.00747239869088,9.012471268000013
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_13/instance_13.lp,297,647,4.84,0.0,optimal,0,0,5.104860649444163,5.295893256999989
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_13/instance_13.lp,301,574,4.68,0.0,optimal,0,0,4.929213314317167,5.121450583999945
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_13/instance_13.lp,299,643,4.78,0.0,optimal,0,0,5.025970570743084,5.241113104999954
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_13/instance_13.lp,299,676,4.95,0.0,optimal,0,0,5.204319093376398,5.405269043000089
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_13/instance_13.lp,291,632,5.0,0.0,optimal,0,0,5.2532457038760185,5.431994916999997
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_14/instance_14.lp,488,905,9.41,0.0,optimal,203,1,10.467252537608147,10.473933747999922
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_14/instance_14.lp,85,387,7.21,0.0,optimal,143,0,7.835142323747277,7.839953864999984
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_14/instance_14.lp,343,822,9.06,0.0,optimal,257,0,10.063272786326706,10.06900443500001
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_14/instance_14.lp,267,674,8.4,0.0,optimal,201,0,9.251295305788517,9.25659727499999
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_14/instance_14.lp,153,537,7.68,0.0,optimal,187,0,8.344987750053406,8.349685624000017
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_14/instance_14.lp,177,509,4.3,0.0,optimal,0,0,4.64710440300405,4.7702841959999205
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_14/instance_14.lp,181,580,4.75,0.0,optimal,0,0,5.060868890024722,5.190574827999967
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_14/instance_14.lp,182,441,4.23,0.0,optimal,0,0,4.550166171044111,4.679272843000035
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_14/instance_14.lp,279,608,5.07,0.0,optimal,0,0,5.405492190271616,5.619540389000008
